Metric,Conversation_ID,CoT,ND,ZS
F1_Suggestion,1,0.7333333333333333,0.6666666666666666,0.6666666666666666
F1_Suggestion,3,0.9333333333333332,1.0,1.0
F1_Suggestion,4,0.35,0.35,0.25
F1_Suggestion,5,0.3333333333333333,0.4,0.39999999999999997
F1_Suggestion,6,0.25,0.15,0.0
F1_Suggestion,7,0.28,0.4000000000000001,0.32000000000000006
F1_Suggestion,8,0.75,0.85,0.85
F1_Suggestion,9,0.85,0.8,0.85
F1_Suggestion,10,0.6,0.7333333333333333,0.6666666666666666
F1_Suggestion,11,0.8400000000000001,0.76,0.6799999999999999
F1_Suggestion,12,0.9333333333333332,1.0,1.0
F1_Suggestion,13,1.0,1.0,1.0
F1_Suggestion,14,0.8666666666666666,1.0,0.9333333333333332
F1_Suggestion,15,0.8666666666666666,0.8666666666666666,1.0
F1_Suggestion,16,1.0,1.0,0.85
F1_Suggestion,17,0.5333333333333333,0.6,0.5333333333333333
F1_Suggestion,18,0.55,0.9,0.65
F1_Suggestion,19,0.55,0.5,0.5
F1_Suggestion,20,0.65,0.85,0.7
F1_Suggestion,21,0.8400000000000002,0.8000000000000002,0.7600000000000001
F1_Suggestion,22,0.4,0.3333333333333333,0.4666666666666666
F1_Suggestion,23,0.6,0.7333333333333333,0.5333333333333333
F1_Suggestion,24,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Suggestion,25,0.55,0.75,0.75
F1_Suggestion,26,0.44000000000000006,0.4,0.4000000000000001
F1_Suggestion,28,0.8,0.7333333333333333,0.7333333333333333
F1_Suggestion,29,0.3333333333333333,0.3333333333333333,0.3333333333333333
F1_Suggestion,31,0.7,0.55,0.55
F1_Suggestion,32,0.4666666666666666,0.5333333333333333,0.6
F1_Suggestion,33,0.5,0.6,0.45
F1_Suggestion,34,0.8000000000000002,0.8800000000000001,0.8400000000000001
F1_Suggestion,35,0.4,0.7,0.6
F1_Suggestion,36,0.7600000000000001,0.7200000000000001,0.7200000000000001
F1_Suggestion,37,1.0,1.0,1.0
F1_Suggestion,39,0.65,0.65,0.65
F1_Suggestion,41,0.5333333333333333,0.6666666666666666,0.6666666666666666
F1_Suggestion,42,0.7333333333333333,0.8,0.8666666666666666
F1_Suggestion,44,0.64,0.64,0.68
F1_Suggestion,46,0.39999999999999997,0.5333333333333333,0.5333333333333333
F1_Suggestion,48,0.7,0.55,0.55
F1_Suggestion,49,0.8,0.8666666666666666,0.8666666666666666
F1_Suggestion,55,1.0,0.95,0.95
F1_Suggestion,57,0.85,0.85,0.9
F1_Suggestion,67,0.05,0.1,0.25
F1_Suggestion,77,0.6666666666666666,0.6,0.6
F1_Suggestion,93,0.9600000000000002,0.8800000000000001,0.9200000000000002
F1_Suggestion,94,0.64,0.8,0.68
F1_Suggestion,Average,0.6542553191489362,0.6903546099290782,0.6673758865248227
F1_Suggestion,Std,0.22590370354531414,0.22501508648402938,0.22763138068058578
F1_Response,1,0.9333333333333332,0.9333333333333332,0.9333333333333333
F1_Response,3,0.39999999999999997,0.3333333333333333,0.3333333333333333
F1_Response,4,0.25,0.0,0.05
F1_Response,5,0.6666666666666666,0.6666666666666666,0.6666666666666666
F1_Response,6,0.2,0.05,0.2
F1_Response,7,0.5599999999999999,0.5599999999999999,0.6
F1_Response,8,0.75,1.0,0.95
F1_Response,9,0.25,0.25,0.25
F1_Response,10,0.6,0.4666666666666666,0.39999999999999997
F1_Response,11,0.4800000000000001,0.56,0.6
F1_Response,12,1.0,1.0,1.0
F1_Response,13,0.6666666666666666,0.4666666666666666,0.5333333333333333
F1_Response,14,0.06666666666666667,0.0,0.06666666666666667
F1_Response,15,0.06666666666666667,0.0,0.06666666666666667
F1_Response,16,0.25,0.25,0.25
F1_Response,17,0.6666666666666666,0.7333333333333333,0.6666666666666666
F1_Response,18,0.15,0.0,0.05
F1_Response,19,1.0,1.0,1.0
F1_Response,20,0.7,0.3,0.5
F1_Response,21,0.32000000000000006,0.24000000000000005,0.32000000000000006
F1_Response,22,0.4,0.2,0.4
F1_Response,23,0.6666666666666666,0.8666666666666666,0.6666666666666666
F1_Response,24,0.06666666666666667,0.0,0.0
F1_Response,25,0.5,0.4,0.3
F1_Response,26,0.32000000000000006,0.24000000000000005,0.24000000000000005
F1_Response,28,0.6,0.4666666666666666,0.9333333333333332
F1_Response,29,0.3333333333333333,0.13333333333333333,0.3333333333333333
F1_Response,31,0.7,0.55,0.85
F1_Response,32,0.2,0.0,0.2
F1_Response,33,0.6,0.8,0.6
F1_Response,34,0.16000000000000003,0.24000000000000005,0.2800000000000001
F1_Response,35,0.25,0.25,0.25
F1_Response,36,1.0,0.96,1.0
F1_Response,37,0.0,0.0,0.05
F1_Response,39,0.25,0.15,0.1
F1_Response,41,0.6,0.6666666666666666,0.4666666666666666
F1_Response,42,0.39999999999999997,0.26666666666666666,0.3333333333333333
F1_Response,44,0.36000000000000004,0.32,0.32
F1_Response,46,0.3333333333333333,0.2,0.2
F1_Response,48,0.45,0.3,0.5
F1_Response,49,0.2,0.26666666666666666,0.2
F1_Response,55,0.6,0.65,0.6
F1_Response,57,0.2,0.15,0.15
F1_Response,67,0.25,0.35,0.6
F1_Response,77,0.4666666666666666,0.13333333333333333,0.3333333333333333
F1_Response,93,0.32000000000000006,0.04000000000000001,0.12000000000000002
F1_Response,94,0.2800000000000001,0.24000000000000005,0.32
F1_Response,Average,0.43581560283687937,0.375531914893617,0.4209219858156028
F1_Response,Std,0.2565136949372443,0.3055748963886801,0.2874677098755887
